1636,1556,4,914.2291200072027
1424,1414,4,830.5851432944021
803,779,0,43.309294871794876
848,843,0,45.17696131391801
8459,8380,4,4926.121675475395
16577,16500,5,9701.080295912576
8537,8532,0,449.5018245776557
4364,4341,0,230.828823025939
13033,12883,1,7322.854142707135
13012,13007,2,7433.872800433006
6888,6757,5,355.97043328458966
6638,6583,2,347.58435515089417
19908,19908,0,16567.105570075466
20023,20022,1,16979.277324754992
10202,10202,0,798.7685638807486
9955,9955,0,763.9007096123233
250,183,67,8331.260997067444
397,275,122,12560.41442674224
133,116,17,610.236319979779
87,83,4,359.5131592634972
19908,19908,0,16567.105570075466
20023,20022,1,16979.277324754992
10202,10202,0,798.7685638807486
9955,9955,0,763.9007096123233
